Location,Frequency,Latitude,Longitude
smart city,1,47.0795883,15.4109574
turkey,3,38.9597594,34.9249653
washington,1,38.8950368,-77.0365427
kermanshah province,6,34.486732,46.80872698861859
japan,1,36.5748441,139.2394179
baghdad,1,33.3061701,44.3872213
halabja,4,35.1792062,45.9873683
najaf,1,32.0010227,44.3299926
israel,11,30.8124247,34.8594762
the middle east,1,35.8696053,-84.1210495
haiti,1,19.1399952,-72.3570972
middle east,2,39.3014159,-76.5888477
persia,1,41.5794887,-95.56894
toronto,1,43.6534817,-79.3839347
algeria,2,28.0000272,2.9999825
costa rica,2,10.2735633,-84.0739102
buhari,1,20.9704262,73.3079159
italy,2,42.6384261,12.674297
emsr,1,50.78764235,0.28588027695609136
iraq,281,33.0955793,44.1749775
russia,1,64.6863136,97.7453061
morocco,1,28.3347722,-10.371337908392647
karzin county,1,28.3284196,52.98174339858538
kabul,1,34.5260109,69.1776838
kamran,1,16.497153,44.805204
iran city,1,-4.0141449,-79.2146914
iran,449,32.6475314,54.5643516
us,2,39.7837304,-100.445882
kuwait,11,29.3796532,47.9734174
azerbaijan,2,40.3936294,47.7872508
mexico,1,19.4326296,-99.1331785
china,1,35.000074,104.999927
tehran,5,35.6892523,51.3896004
pakistan,4,30.3308401,71.247499
al miqdadiyah,1,33.975762,44.970305
bhuj,1,23.2472446,69.668339
uae,2,24.0002488,53.9994829
dubai,3,25.074282349999997,55.18853865430702
kurdistan,15,35.672803,47.0124376
