Location,Frequency,Latitude,Longitude
baghdad,1,33.3061701,44.3872213
the middle east,5,35.8696053,-84.1210495
middle east,7,39.3014159,-76.5888477
al arabiya,1,17.0152573,54.093151
california,4,36.7014631,-118.755997
san francisco,1,37.7792588,-122.4193286
duas,1,43.3571048,-8.4083835
yemi,1,37.2124522,128.6483309
tel aviv,2,32.0852997,34.7818064
amanda,1,39.649508,-82.7443367
south east,15,-24.62994925,26.045475779882622
south province,1,-22.27584205,166.6417946075743
naira,1,12.2931,8.73284
cairo,5,30.0443879,31.2357257
america,2,39.7837304,-100.445882
us,9,39.7837304,-100.445882
modi,1,28.31079015,83.71627050465048
finland,2,63.2467777,25.9209164
kahramanmaras,3,37.7830345,36.830655
asia africa europe,1,21.4173497,39.9001468
pakistan,44,30.3308401,71.247499
tehran,1,35.6892523,51.3896004
italy hungary,1,47.70483,17.72716
diyarbakir,1,37.9162222,40.2363542
maras,1,37.5940358,61.8397935
nevşehir,1,38.7235072,34.7194168
nicosia,1,35.1746503,33.3638783
hama,8,35.1343368,36.7496276
mideast,1,10.0898931,76.3963562
janah,1,23.8965118,56.6053685
hatay province,4,36.3451332,36.0748022
illahi,1,31.5787579,74.3133453
east meda,1,6.1172143,80.2553415
maraş city,1,37.5812744,36.927509
south turkey,2,43.30883,-92.2447997
madad,1,24.7829414,84.5373535
netherlands,5,52.2434979,5.6343227
polygon,1,48.6337607,7.5750892
london,2,51.4893335,-0.14405508452768728
muzaffarabad,1,34.3767316,73.4767389
latakia,1,35.5200185,35.7781044
uk,6,6.3110548,20.5447525
beirut,6,33.8959203,35.47843
turkiye turkiye,1,38.9597594,34.9249653
elbistan district,3,47.0388057,7.6244125
amman,1,31.9515694,35.9239625
indonesia,1,-2.4833826,117.8902853
nigeria,1,9.6000359,7.9999721
south turkiye,1,-35.307763,149.1184377456894
kayseri,1,38.7219011,35.4873214
spain,1,39.3260685,-4.8379791
europe,7,51.0,10.0
iraq,32,33.0955793,44.1749775
hassa turkey,1,38.737602,36.110626
britain,3,54.3151594,-1.9181532111487878
turkey pazarcık,1,40.7478554,40.2420431
florida,6,27.7567667,-81.4639835
france,4,46.603354,1.8883335
kashmir,2,26.2644203,71.6027498
iran,10,32.6475314,54.5643516
turkey,814,38.9597594,34.9249653
san francisco america,1,37.7792588,-122.4193286
adana turkey,3,37.1438001,35.4984094
syria,958,34.815353599999995,38.42307447267531
turkiye,1,38.9597594,34.9249653
buhari,1,11.414802,8.250821
east mediterranean,1,59.3294531,18.0672982
kurdistan,8,35.672803,47.0124376
malatya turkey,1,38.3487153,38.3190674
azerbaijan,5,40.3936294,47.7872508
jericho,2,44.4897051,-72.96228113556475
southeast turkey,10,40.664902,-81.241722
albania,1,1.2315264,-75.89204331320687
jordan,35,44.6663146,-93.6261918
gibi,1,6.561025750000001,-10.006364729001913
ozil,1,44.58065035,4.432305870481621
georgia,4,32.3293809,-83.1137366
nw province,1,-25.796383050000003,25.625813309276467
malatya province,13,40.740393,30.0185395
daura,1,11.76484385,7.951789531644682
germany,2,51.1638175,10.4478313
uae,1,24.0002488,53.9994829
egypt,10,26.2540493,29.2675469
thailand,1,7.4931858,124.724704
israel,31,30.8124247,34.8594762
portugal,1,39.6621648,-8.1353519
brazil,1,-10.3333333,-53.2
seattle,1,47.6038321,-122.330062
northern governor,3,15.21224935,145.75240297022523
the united states,2,47.8281626,-122.598365
manila,1,14.5906346,120.9799964
hatay city,1,53.4653152,9.9621853
mediterranean,1,53.863699499999996,27.551608183119
gaza,3,31.4432234,34.360007
south,1,2.7497556,11.4860732
southeast asia,1,-8.7287308,115.2365646
adana,12,36.9863599,35.3252861
the south east,3,30.4256404,-91.17745396719786
east south,1,38.0076542,-89.2234533
oha,1,-0.4812638,127.9668736
frankfurt,1,50.1106444,8.6820917
anatolia,1,39.0,32.0
delhi,1,28.6273928,77.1716954
earth,3,34.2331373,-102.4107493
bulgaria,3,42.6073975,25.4856617
poland,5,52.215933,19.134422
gujarat,1,22.3850051,71.745261
serbia,2,44.024322850000004,21.07657433209902
damascus,4,33.5130695,36.3095814
ninewa,1,36.0367935,42.3168623
turkish province,2,46.0601618,11.2374195
united states,1,39.7837304,-100.445882
nabaa,1,25.8341937,44.2105626
lebanon,196,40.375713,-76.4626118
caracas venezuela,1,10.5060934,-66.9146008
greece,12,43.2097838,-77.6930602
sweden,1,59.6749712,14.5208584
khelo,1,33.2065694,69.5171276
ukraine,5,49.4871968,31.2718321
malatya city,1,38.3487153,38.3190674
palestine,10,31.7621153,-95.6307891
china,2,35.000074,104.999927
south eastern,2,35.396144,-99.381832
south eastern turkey,12,21.4201042,39.8930959
don,3,50.5461539,2.9158784
italy,8,42.6384261,12.674297
kazakhstan,1,48.1012954,66.7780818
eastern turkiye,1,38.496575750000005,44.316057442597796
adıyaman,3,37.78936,38.3141101
istanbul,8,41.0766019,29.052495
malatya,2,38.3487153,38.3190674
puk,1,-4.4020694,144.8589129
india,95,22.3511148,78.6677428
maras province,1,37.5940358,61.8397935
adana huzurevleri,2,37.0381461,35.2789157
sse province,1,51.756877700000004,19.806979350319416
russia,10,64.6863136,97.7453061
the south eastern,1,29.48480935,60.87304077669535
rajendran,1,12.1333024,75.1844596471686
rt united states,1,39.9165031,-74.7126592
antalya city,1,36.8864752,30.7029585
afghanistan,1,33.7680065,66.2385139
japan,5,36.5748441,139.2394179
bhai,1,32.0574817,76.2757158
rojava,1,24.16819605,-13.892143025000001
canada,4,61.0666922,-107.991707
mexico,1,19.4326296,-99.1331785
