Location,Frequency,Latitude,Longitude
las vegas,2,36.1672559,-115.148516
ottawa,3,45.4208777,-75.6901106
aá¼ÿ,1,17.9095,38.3369
springfield,1,39.7990175,-89.6439575
mexico city puebla,1,19.4072053,-99.0824676
latin america,1,42.337865949999994,-71.10127414497714
south mexico,1,35.6869974,-105.9402079
costa rica,1,10.2735633,-84.0739102
new zealand,1,-41.5000831,172.8344077
britain,1,54.3151594,-1.9181532111487878
london,2,51.4893335,-0.14405508452768728
algeria,1,28.0000272,2.9999825
north korea,3,40.3736611,127.0870417
los angeles times,1,34.027930049999995,-118.2355838239648
los topos,1,21.9543103,-98.2549811
salma,4,35.6866169,36.1319729
milwaukee,1,43.0349931,-87.922497
oaxaca mexico,6,17.0,-96.5
seattle,1,47.6038321,-122.330062
uk,1,6.3110548,20.5447525
vogue mexico,3,19.3840687,-99.0940476
xico,2,19.4457798,-97.07075687770478
china,1,35.000074,104.999927
arizona,2,34.395342,-111.763275
notch mexico,1,34.0916324,-80.92629824612757
kerala,1,10.3528744,76.5120396
kuwait,1,29.3796532,47.9734174
canada,1,61.0666922,-107.991707
dona,1,-10.985511800000001,122.8662154046743
washington,1,38.8950368,-77.0365427
florida,4,27.7567667,-81.4639835
venezuela,3,8.0018709,-66.1109318
frida,6,25.64885705,-100.32446352234815
benito,1,36.8216159,-120.4362833
northern ireland,1,54.5859836,-6.9591554
kenan,1,37.8362417,40.817351
new mexico,1,34.5802074,-105.996047
america,1,39.7837304,-100.445882
fuerza mexico,1,25.673556650000002,-100.32672254954358
salina cruz,1,16.1825,-95.195833
toronto,1,43.6534817,-79.3839347
russia,2,64.6863136,97.7453061
west new york,1,40.7856117,-74.0093129
kprc,1,34.6553753,-112.41843807796238
cuba,1,23.0131338,-80.8328748
kompany,1,47.92039415,106.88003360288164
miami,1,25.7741728,-80.19362
west coast,1,-42.5638896,171.45233400435404
tres,2,46.32311,11.096874
south bay,1,26.6639559,-80.7161701
coin mexico,1,23.069659,-109.6685529
jojutla,1,18.600025100000003,-99.22997156620391
noma,1,55.6825096,12.6107888
san francisco,2,37.7792588,-122.4193286
mexico city,198,19.4326296,-99.1331785
mexico,787,19.4326296,-99.1331785
sacramento,1,38.5810606,-121.493895
central mexico,20,25.71472455,-100.34411881057974
calgary,3,51.0456064,-114.057541
myanmar,2,17.1750495,95.9999652
shot mexico,1,19.2958202,-99.1319086
scary mexico,1,19.4278367,-99.1634719
north pacific,1,46.4721538,-112.236954
taiwan,7,23.5983227,120.83537694479215
japan,8,36.5748441,139.2394179
denver,4,39.7392364,-104.984862
mo,1,44.5384728,10.935960870530739
iran,1,32.6475314,54.5643516
photos mexico,1,20.6208354,-87.0778504
southern mexico,2,44.9882383,37.25603863858871
bronx,1,40.8466508,-73.8785937
magdalena,1,10.5808075,-74.0685669
la,1,20.0171109,103.378253
san antonio,1,29.4246002,-98.4951405
israel,9,30.8124247,34.8594762
unga,1,1.89275,30.489
houston,3,29.7589382,-95.3676974
buhari,1,11.414802,8.250821
juchitan,1,16.42983445,-95.03231747120115
texas,1,31.2638905,-98.5456116
jojutla mexico,2,18.600025100000003,-99.22997156620391
colonia,1,-34.1664516,-57.4993268
india,1,22.3511148,78.6677428
the united states,2,47.8281626,-122.598365
oaxaca,5,17.0,-96.5
los angeles,2,34.0536909,-118.242766
caribbean,1,18.4,-75.0
paredon mexico,2,16.052511,-93.8682794
boston,2,42.3554334,-71.060511
emsr,1,50.78764235,0.28588027695609136
guatemala,1,15.5855545,-90.345759
us,1,39.7837304,-100.445882
deafâ,1,52.74862025,-8.02900559925411
chiapas,1,16.5000001,-92.5000001
california,12,36.7014631,-118.755997
kankakee,1,41.1253903,-87.848682
de mexico mexico,1,19.4326296,-99.1331785
