text,date,original,genre,related,PII,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,actionable_haiti,processed_text
UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,17-01-2010,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,direct,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,un reports leogane destroyed only hospital st croix functioning needs supplies desperately 
"We are at Gressier we needs assistance right away. ASAP, Come help us.",17-01-2010,Se gressier nou an difikilte tanpri vin ede nou,direct,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,we are at gressier we needs assistance right away asap come help us 
"Delmas 33 in Silo, need water.",17-01-2010,Delma 33 silo gen problem dlo,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,delmas in silo need water 
"SOS SOS, please provide police officers on the streets as they are very insecure",17-01-2010,EMGENCY EMGENCY SI POLIS LA TE KA BAY PREZANS LI SOU CHAK PLAS AK LARI LI TAP BON PASKE CHAK SWA YO F ANPIL DEGA MENM DETWI LAVI MOUN ENPOTAN,direct,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,sos sos please provide police officers on the streets as they are very insecure
Is the Hurricane over or is it not over,17-01-2010,Cyclone nan fini osinon li pa fini,direct,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,is the hurricane over or is it not over
"says: west side of Haiti, rest of the country today and tonight",17-01-2010,facade ouest d Haiti et le reste du pays aujourd hui et ce soir,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,says west side of haiti rest of the country today and tonight
Information about the National Palace-,17-01-2010,Informtion au nivaux palais nationl,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,information about the national palace 
Storm at sacred heart of jesus,17-01-2010,Cyclone Coeur sacr de jesus,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,storm at sacred heart of jesus
"Please, we need tents and water. We are in Silo, Thank you!",17-01-2010,Tanpri nou bezwen tant avek dlo nou zon silo mesi.,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,please we need tents and water we are in silo thank you 
"I would like to receive the messages, thank you",17-01-2010,Mwen ta renmen jouin messag yo. Merci,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, would like to receive the messages thank you
"There's nothing to eat and water, we starving and thirsty.",17-01-2010,Bon repo pa gen anyen menm grangou swaf,direct,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,there nothing to eat and water we starving and thirsty 
I am in Petionville. I need more information regarding 4636,17-01-2010,M nan pv mvle plis enfomasyon sou 4636,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, am in petionville need more information regarding 
"I am in Thomassin number 32, in the area named Pyron. I would like to have some water. Thank God we are fine, but we desperately need water. Thanks",17-01-2010,Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, am in thomassin number in the area named pyron would like to have some water thank god we are fine but we desperately need water thanks
"Let's do it together, need food in Delma 75, in didine area",17-01-2010,Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,let do it together need food in delma in didine area
More information on the 4636 number in order for me to participate. ( To see if I can use it ),17-01-2010,gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,more information on the number in order for me to participate to see if can use it 
