text,date,category,processed_text
RT @PressTV: UPDATE: Death toll from Iran’s quake rises to 200 #earthquake https://t.co/DklVc2VwKW,13_11_2017,injured_or_dead_people,rt update death toll from iran quake rises to earthquake 
RT @CAFOD: We pray for all those affected by the earthquake in Iraq and Iran https://t.co/qja8zQSuQe,13_11_2017,not_humanitarian,rt we pray for all those affected by the earthquake in iraq and iran 
RT @ReutersWorld: JUST IN: Death toll reaches 328 in Iran earthquake - ISNA news agency https://t.co/FgRLptfk9l,13_11_2017,injured_or_dead_people,rt just in death toll reaches in iran earthquake isna news agency 
"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk",13_11_2017,other_relevant_information,rt magnitude earthquake struck northern iraq in erbil iraq on november iraq 
"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk",13_11_2017,other_relevant_information,rt magnitude earthquake struck northern iraq in erbil iraq on november iraq 
"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk",13_11_2017,other_relevant_information,rt magnitude earthquake struck northern iraq in erbil iraq on november iraq 
"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk",13_11_2017,other_relevant_information,rt magnitude earthquake struck northern iraq in erbil iraq on november iraq 
Video: 7.2-magnitude earthquake jolts #Iran-Iraq border area; structural damage reported https://t.co/Jeh1EXMiyq https://t.co/EmvW58Y6u4,13_11_2017,other_relevant_information,video magnitude earthquake jolts iran iraq border area structural damage reported 
"#BREAKING: Iran earthquake toll rises to 328 dead and over 2,500 injured, says official https://t.co/SnMGA7VGnO",13_11_2017,injured_or_dead_people, breaking iran earthquake toll rises to dead and over injured says official 
"RT @RT_com: Iran-Iraq border earthquake latest: - At least 211 killed - Over 2,500 injured https://t.co/w0n8LBQsE6 https://t.co/n4SlLDYuzs",13_11_2017,injured_or_dead_people,rt iran iraq border earthquake latest at least killed over injured 
WSJ: Earthquake near Iran-Iraq border kills more than 200 https://t.co/l6rVg3feU4 https://t.co/ZZkY7wqYSf,13_11_2017,injured_or_dead_people,wsj earthquake near iran iraq border kills more than 
RT @HuffPost: Hundreds dead after powerful #earthquake hits border between Iran and Iraq https://t.co/p8TJjvjOhr https://t.co/l4PJqZxiaz,13_11_2017,injured_or_dead_people,rt hundreds dead after powerful earthquake hits border between iran and iraq 
Turkey rushes to help Iraq earthquake victims https://t.co/byyQ0NOPxt https://t.co/pT0SfLRTxE,13_11_2017,rescue_volunteering_or_donation_effort,turkey rushes to help iraq earthquake victims 
#BREAKING: Death toll in #Iran-#Iraq #earthquake reportedly climbs to 328 https://t.co/ZM0qSsTM9w https://t.co/HFyPs97nkb,13_11_2017,injured_or_dead_people, breaking death toll in iran iraq earthquake reportedly climbs to 
"Strong earthquake hits Iraq and Iran, killing at least 218 https://t.co/ewo0UrauTY #WorldNews #News https://t.co/YGOtOQzOXt",13_11_2017,injured_or_dead_people,strong earthquake hits iraq and iran killing at least worldnews news 
Officials raise death count to at least 200 after earthquake rocks northern Iraq https://t.co/sqkeX5nKz9 https://t.co/l9TVeHaiCi,13_11_2017,injured_or_dead_people,officials raise death count to at least after earthquake rocks northern iraq 
"#News:- At least 210 people were killed in Iran and Iraq, a powerful magnitude 7.3 earthquake hit the region https://t.co/KyOdFMZChN",13_11_2017,injured_or_dead_people, news at least people were killed in iran and iraq powerful magnitude earthquake hit the region 
I think Event: Earthquake has occurred in Iran Mon Nov 13 02:26:33 2017 CDT https://t.co/SdoJ6w0tH7,13_11_2017,other_relevant_information, think event earthquake has occurred in iran mon nov cdt 
Iran-Iraq earthquake: 328 people dead from devastating quake in border region https://t.co/xjcicATUDS https://t.co/xEL8W54mqu,13_11_2017,injured_or_dead_people,iran iraq earthquake people dead from devastating quake in border region 
"RT @khaleejtimes: Earthquake in Iran-Iraq border, tremors felt in UAE https://t.co/VZxiwUkof5 https://t.co/OAhy9eY9G7",13_11_2017,other_relevant_information,rt earthquake in iran iraq border tremors felt in uae 
"Iraq: Strong earthquake hits Iraq-Iran border area, six killed in Iran #humanitarian #newzealand #auckland https://t.co/VYjRFEhxLz",13_11_2017,injured_or_dead_people,iraq strong earthquake hits iraq iran border area six killed in iran humanitarian newzealand auckland 
"The Wall Street Journal: Iran-Iraq earthquake kills at least 207, with de... https://t.co/h0GnYkR6H0 https://t.co/HWQn1h0BBU",13_11_2017,injured_or_dead_people,the wall street journal iran iraq earthquake kills at least with de 
Strong earthquake strikes #Iraq #UnitedStates #Iran https://t.co/IU3mK3yONm https://t.co/vlwVC2vkhc,13_11_2017,other_relevant_information,strong earthquake strikes iraq unitedstates iran 
"I had a heart attack waiting to hear back from my dad in Najaf (Iraq), about the earthquake ὢ5 Alhamdulillah https://t.co/dr757df16T",13_11_2017,not_humanitarian, had heart attack waiting to hear back from my dad in najaf iraq about the earthquake ὢ alhamdulillah 
Over 200 killed in Iran-Iraqi earthquake https://t.co/r53O8nKXOq https://t.co/RHz9pYrG9f,13_11_2017,injured_or_dead_people,over killed in iran iraqi earthquake 
RT @AhmadiyyaTimes: Baghdad: Powerful earthquake on Iran-Iraq border kills 207 people https://t.co/86eNttQ1p4 Pls RT https://t.co/YYiWsqD0ES,13_11_2017,injured_or_dead_people,rt baghdad powerful earthquake on iran iraq border kills people pls rt 
At least 214 #People #Dead in Iran-Iraq #Earthquake - https://t.co/XBKZxdI8Rs - #IranIraq #News https://t.co/hRjTw87yoN,13_11_2017,injured_or_dead_people,at least people dead in iran iraq earthquake iraniraq news 
