text,date,processed_text
"\Japan earthquake: Nearly 250 missing as hope for survivors fades - BBC News\"" https://bbc.com/news/world-asia-67889216…  2024/01/06 JST""",Jan-07, japan earthquake nearly missing as hope for survivors fades bbc news jst 
Replying to  @aviationbrk,Jan-07,replying to 
"ارتفاع حصيلة ضحايا زلزال اليابان إلى 326 قتيلا ومفقودا السبت، 06 يناير 2024 01:21 م  أعلنت السلطات اليابانية، اليوم السبت، ارتفاع حصيلة ضحايا الزلزال الذي ضرب البلاد مطلع العام الجديد إلى 126 قتيلا وأكثر من مائتي مفقود بمحافظة \إيشيكاوا\"". #japan #earthquakes""",Jan-06,ارتفاع حصيلة ضحايا زلزال اليابان إلى قتيلا ومفقودا السبت يناير م أعلنت السلطات اليابانية اليوم السبت ارتفاع حصيلة ضحايا الزلزال الذي ضرب البلاد مطلع العام الجديد إلى قتيلا وأكثر من مائتي مفقود بمحافظة إيشيكاوا japan earthquakes 
Replying to  @rawsalerts,Jan-06,replying to 
Informative and Helpful article by the founder of Social Innovation Japan and  @mymizuco  Robin Lewis about helping with the most recent earthquake in Japan: How to help survivors of the 2024 Noto Peninsula Earthquake in Japan by  @robintlewis,Jan-06,informative and helpful article by the founder of social innovation japan and robin lewis about helping with the most recent earthquake in japan how to help survivors of the noto peninsula earthquake in japan by 
"\In support of the disaster relief efforts for the 2024 Sea of Japan earthquake\"" 「2024日本海地震（能登半島地震）による被災支援のため」  大谷翔平選手がドジャーズと共同で１億４千万円寄付の声明発表。ありがとうございます""",Jan-06, in support of the disaster relief efforts for the sea of japan earthquake 日本海地震 能登半島地震 による被災支援のため 大谷翔平選手がドジャーズと共同で 億 千万円寄付の声明発表 ありがとうございます 
Replying to  @fasc1nate,Jan-06,replying to 
5 days into 2024:  Flash flooding in Saudi Arabia Major Earthquake in Japan S Korea fires missiles into S Korea islands Jeffrey Epstein List Waves roaring in Ca Subway trains collide in Manhattan Blackouts increasing Israel vs Islam  Now alien sightings in Miami  #GotJESUS ?,Jan-05, days into flash flooding in saudi arabia major earthquake in japan korea fires missiles into korea islands jeffrey epstein list waves roaring in ca subway trains collide in manhattan blackouts increasing israel vs islam now alien sightings in miami gotjesus 
2024 so far -Earthquake in Japan -Airplane collides and explodes -Pomu graduates  Me exiting 2023 vs now:,Jan-05, so far earthquake in japan airplane collides and explodes pomu graduates me exiting vs now 
Replying to  @TIOffoa1Iny67ll,Jan-05,replying to 
