text,date,category,processed_text
RT @FCBarcelona: Our solidarity with the victims of the earthquake in Mexico https://t.co/4R52KTn7CB,20_9_2017,not_humanitarian,rt our solidarity with the victims of the earthquake in mexico 
Mexico earthquake: Many children killed at primary school https://t.co/h0uPkN13mH https://t.co/0vGA5lj758,20_9_2017,injured_or_dead_people,mexico earthquake many children killed at primary school 
Obamaâ€™s Response To The Earthquake In #MexicoCity Is What A Real #President #SoundsLike... https://t.co/5EFdMNUgWS https://t.co/ITx4uVwgxf,20_9_2017,not_humanitarian,obamaâ response to the earthquake in mexicocity is what real president soundslike 
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,20_9_2017,rescue_volunteering_or_donation_effort,rt breaking israel search amp rescue mission headed to mexico after earthquake 
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,20_9_2017,rescue_volunteering_or_donation_effort,rt breaking israel search amp rescue mission headed to mexico after earthquake 
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,20_9_2017,rescue_volunteering_or_donation_effort,rt breaking israel search amp rescue mission headed to mexico after earthquake 
"NEWS: At least 200 people, including 21 children, have died in Mexico after an earthquake hit the country. https://t.co/Wzp6DSKdTs",20_9_2017,injured_or_dead_people,news at least people including children have died in mexico after an earthquake hit the country 
"RT @TravelLeisure: Deadly earthquake shakes Mexico City, causes buildings to crumble https://t.co/Ad7BYyR1b6 https://t.co/3Qu2wvMbWu",20_9_2017,infrastructure_and_utility_damage,rt deadly earthquake shakes mexico city causes buildings to crumble 
RT @Jentezen: We are praying for all the people in Mexico who are suffering from the earthquake. https://t.co/y55ZqWuOzX,20_9_2017,other_relevant_information,rt we are praying for all the people in mexico who are suffering from the earthquake 
RT @PaulKiarie_: 7.1 magnitude earthquake hits Mexico Central. 248 deaths so far. á½¢2 #FuerzaMexico #PrayForMexico https://t.co/aqLQ8TcvJJ,20_9_2017,injured_or_dead_people,rt magnitude earthquake hits mexico central deaths so far á½ fuerzamexico prayformexico 
At least 49 dead as strong 7.1 magnitude earthquake hit MexicoÂ City https://t.co/6wECTRmUuA https://t.co/8BP2hQ5Ilq,20_9_2017,injured_or_dead_people,at least dead as strong magnitude earthquake hit mexicoâ city 
RT @jorge_guajardo: Mexico City airport after today's earthquake. https://t.co/5UKQ54WLAz,20_9_2017,other_relevant_information,rt mexico city airport after today earthquake 
"Earthquake causes widespread damage around Mexico City, kills at least 217 people - https://t.co/pJvRR9J9Mo https://t.co/Dj0Yv3K7ym via tâ€¦",20_9_2017,injured_or_dead_people,earthquake causes widespread damage around mexico city kills at least people via tâ 
(Vice):More Than 200 #Dead After #Earthquake Rocks Mexico City : The death toll is.. https://t.co/QxFQXCVt85 https://t.co/oq9U1LgP19,20_9_2017,injured_or_dead_people, vice sad more than dead after earthquake rocks mexico city the death toll is 
"RT @thehill: Obama sends ""big hug"" to Mexico after deadly earthquake https://t.co/KFfWLIgPH0 https://t.co/MIA6AOc8wy",20_9_2017,not_humanitarian,rt obama sends big hug to mexico after deadly earthquake 
".@Beyonce, @BarackObama, and @selenagomez are among those to offer kind words for Mexico. https://t.co/BYsAAYx9Mi https://t.co/voQElTGntm",20_9_2017,other_relevant_information, and are among those to offer kind words for mexico 
#Mexico City Hit by 7.1 Earthquake - https://t.co/ZUcQaFKpkN https://t.co/d9NnYfu9Qc,20_9_2017,other_relevant_information, mexico city hit by earthquake 
RT @thedailybeast: Images from Mexico City's devastating earthquake https://t.co/r0XsVnmbZi https://t.co/C67tmHFIJe,20_9_2017,infrastructure_and_utility_damage,rt images from mexico city devastating earthquake 
NFL reviewing whether Mexico City game can go on after earthquake https://t.co/oGzlLeZbL8 #fantasyfootball https://t.co/NMWy5IlgSk,20_9_2017,other_relevant_information,nfl reviewing whether mexico city game can go on after earthquake fantasyfootball 
RT @BBGVisualData: Hushed Crews Listen for Survivors After Mexico Earthquake Toll Tops 200 https://t.co/skY2sAZoMT https://t.co/wDwMrlVp7y,20_9_2017,other_relevant_information,rt hushed crews listen for survivors after mexico earthquake toll tops 
#Rescuers search rubble as dawn breaks in Mexico City; earthquake toll hits 217 - https://t.co/9idfIxXr7N https://t.co/xP5raBAejH,20_9_2017,infrastructure_and_utility_damage, rescuers search rubble as dawn breaks in mexico city earthquake toll hits 
Sending our thoughts and prayers out to Mexico. What a horrendous earthquake. @TheRealSambora @orianthi @RSOofficial https://t.co/B18hxlFmBz,20_9_2017,other_relevant_information,sending our thoughts and prayers out to mexico what horrendous earthquake 
Foreign Office issues warning following Mexico earthquake https://t.co/SIOmAG4gTh https://t.co/mB0NIvfQGp,20_9_2017,other_relevant_information,foreign office issues warning following mexico earthquake 
(The human tragedy of Mexico's 1985 earthquake Video) #latest #news #followback - https://t.co/gqG0Zm1gDK https://t.co/yt3pY6cwSA,20_9_2017,other_relevant_information, the human tragedy of mexico earthquake video latest news followback 
RT @leeunkrich: MEXICO EARTHQUAKE RELIEF: @topos PayPal donations: donativos@brigada-rescate-topos.org topos.mx https://t.co/YwXCLb69i3,20_9_2017,rescue_volunteering_or_donation_effort,rt mexico earthquake relief paypal donations donativos topos mx 
RT @geogabout: Death toll rises to 226 as powerful earthquake topples buildings in Mexico https://t.co/JM00zkKOpr https://t.co/SCTl4qv8Wh,20_9_2017,injured_or_dead_people,rt death toll rises to as powerful earthquake topples buildings in mexico 
Prayers for the millions people affected by the powerful earthquake in Mexico. á½‰Aá¼Ÿ2á¼ŸDâ¤ï¸ #MexicoFuerte #MexicoCity https://t.co/oMvAvXiF1e,20_9_2017,not_humanitarian,prayers for the millions people affected by the powerful earthquake in mexico á½ aá¼ÿ á¼ÿdâ ï mexicofuerte mexicocity 
Mexico earthquake: Praise for those who raced to help others https://t.co/YzNx5JmTSR https://t.co/h0vYeSEyN0,20_9_2017,not_humanitarian,mexico earthquake praise for those who raced to help others 
.@LatinGRAMMYs suspend nominees announcement following Mexico earthquake https://t.co/Kix5M31n79 #LatinGRAMMY https://t.co/X63yaewRgI,20_9_2017,other_relevant_information, suspend nominees announcement following mexico earthquake latingrammy 
RT @BIUK: This drone footage shows the devastation caused by the 7.1 magnitude earthquake in Mexico. https://t.co/zI9IbOXFPE,20_9_2017,infrastructure_and_utility_damage,rt this drone footage shows the devastation caused by the magnitude earthquake in mexico 
@DUALIPA #sismo earthquake in mexico https://t.co/uG4QOSmzOT,20_9_2017,other_relevant_information, sismo earthquake in mexico 
New Zealand shaken by large tremors just hours after Mexico City earthquake #D20 https://t.co/tEQitV3xAk https://t.co/3NaU8n1IIM,20_9_2017,other_relevant_information,new zealand shaken by large tremors just hours after mexico city earthquake 
RT @realDailyWire: WATCH: Multiple Buildings Collapse During Earthquake In Mexico City https://t.co/f0okN3sYpG https://t.co/CtCptwerXN,20_9_2017,infrastructure_and_utility_damage,rt watch multiple buildings collapse during earthquake in mexico city 
RT @dwnews: Mexico earthquake update: More than 200 dead as numerous buildings collapse https://t.co/XbYxuaWGSS https://t.co/jB3rWk3fM9,20_9_2017,injured_or_dead_people,rt mexico earthquake update more than dead as numerous buildings collapse 
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage,rt photos show magnitude earthquake destruction in central mexico 
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage,rt photos show magnitude earthquake destruction in central mexico 
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage,rt photos show magnitude earthquake destruction in central mexico 
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage,rt photos show magnitude earthquake destruction in central mexico 
"RT @theAGU: USGS ShakeMap of the M 7.1 earthquake 5km ENE of Raboso, Mexico. https://t.co/QjyEK2dWLk https://t.co/K0mxnyseMK",20_9_2017,other_relevant_information,rt usgs shakemap of the earthquake km ene of raboso mexico 
The Brief: An earthquake in Mexico has killed more than 200Â people https://t.co/vIdgMlszzD https://t.co/Z028k6cKUg,20_9_2017,injured_or_dead_people,the brief an earthquake in mexico has killed more than â people 
Deadly earthquake hits Mexico City My Deep condolences with the people of MEXICO. https://t.co/5ov8KKE4y4,20_9_2017,other_relevant_information,deadly earthquake hits mexico city my deep condolences with the people of mexico 
Removing the jungle gym from elementary school where at least 22 students died in Mexico earthquake https://t.co/q4WTMFoQyk,20_9_2017,injured_or_dead_people,removing the jungle gym from elementary school where at least students died in mexico earthquake 
Mexico: Dona a las victimas del Terremoto. Donate to the victims of theÂ Earthquake. https://t.co/SXfNngKE87 https://t.co/C3wdAzyt8S,20_9_2017,rescue_volunteering_or_donation_effort,mexico dona las victimas del terremoto donate to the victims of theâ earthquake 
"RT @MSN: Horror, desperation follow earthquake in Mexico City https://t.co/VeXCcfeIeZ https://t.co/6UNK0zdSCF",20_9_2017,other_relevant_information,rt horror desperation follow earthquake in mexico city 
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,20_9_2017,infrastructure_and_utility_damage,rt mexico city sees major damages to buildings after magnitude earthquake 
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,20_9_2017,infrastructure_and_utility_damage,rt mexico city sees major damages to buildings after magnitude earthquake 
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,20_9_2017,infrastructure_and_utility_damage,rt mexico city sees major damages to buildings after magnitude earthquake 
Terrifying visuals of #Mexico #earthquake stun the world | https://t.co/id4P48vVud https://t.co/TXQRZZimOS,20_9_2017,other_relevant_information,terrifying visuals of mexico earthquake stun the world 
21 kids among dead found in school after Mexico earthquake https://t.co/7mnv1THMbL https://t.co/HCITSEtjAa,20_9_2017,injured_or_dead_people, kids among dead found in school after mexico earthquake 
Mexico earthquake building collapse: Rescue caught on video as children pulled from rubbleâ€¦ https://t.co/stlQsHAg7j https://t.co/GLBh0BZLaW,20_9_2017,infrastructure_and_utility_damage,mexico earthquake building collapse rescue caught on video as children pulled from rubbleâ 
"Nissan evacuates Mexico City HQ, Cuernavaca plant after earthquake https://t.co/EjuenXBp9H #storystream #auto https://t.co/5QgBUPB67K",20_9_2017,other_relevant_information,nissan evacuates mexico city hq cuernavaca plant after earthquake storystream auto 
"RT @thedailybeast: Amid the rubble of Mexico's huge earthquake, there are many helping hands https://t.co/fB57xVPjW7 https://t.co/i7IAJ4sbaZ",20_9_2017,rescue_volunteering_or_donation_effort,rt amid the rubble of mexico huge earthquake there are many helping hands 
"In a collapsed Mexico school, a community digs for signs of life https://t.co/KRoFY8uFL3 #SocialMedia https://t.co/mvQiyZr2IR",20_9_2017,infrastructure_and_utility_damage,in collapsed mexico school community digs for signs of life socialmedia 
Mexico Combs The Rubble For Survivors After Earthquake Kills At Least 225 https://t.co/KudZhXORZu #SocialMedia https://t.co/Gtn7NAV2tk,20_9_2017,injured_or_dead_people,mexico combs the rubble for survivors after earthquake kills at least socialmedia 
Trump sent his condolences at Mexico after the earthquake https://t.co/1P6R84UMyN,20_9_2017,other_relevant_information,trump sent his condolences at mexico after the earthquake 
Mexico reels following devastating earthquake https://t.co/62tXU8opb4 https://t.co/TVEAOzpR23,20_9_2017,infrastructure_and_utility_damage,mexico reels following devastating earthquake 
RT @ClevverTV: Fans fear for Shawn Mendes' safety after deadly #MexicoCityearthquake https://t.co/w2TuxjnOI0 https://t.co/YKxOk7XaAu,20_9_2017,other_relevant_information,rt fans fear for shawn mendes safety after deadly mexicocityearthquake 
RT @mashable: Here's how to help Mexico after another deadly earthquake https://t.co/O0KYwEaBKw https://t.co/O56otvYCIQ,20_9_2017,rescue_volunteering_or_donation_effort,rt here how to help mexico after another deadly earthquake 
